ComplaintNum,PrimaryDesc,SecondaryDesc,Premises,Date,City
HX100675,Grand Theft Auto,AUTOMOBILE,STREET,2014-01-01,CHI
HX100708,Grand Theft Auto,AUTOMOBILE,STREET,2014-01-01,CHI
HX111780,Grand Theft Auto,AUTOMOBILE,STREET,2014-01-01,CHI
HX100502,Grand Theft Auto,AUTOMOBILE,STREET,2014-01-01,CHI
HX100863,Grand Theft Auto,AUTOMOBILE,STREET,2014-01-01,CHI
HX100295,Grand Theft Auto,AUTOMOBILE,ABANDONED BUILDING,2014-01-01,CHI
HX100301,Grand Theft Auto,AUTOMOBILE,STREET,2014-01-01,CHI
HX100372,Grand Theft Auto,AUTOMOBILE,STREET,2014-01-01,CHI
HX100388,Grand Theft Auto,AUTOMOBILE,STREET,2014-01-01,CHI
HX209211,Grand Theft Auto,AUTOMOBILE,OTHER,2014-01-01,CHI
HX100673,Grand Theft Auto,ATT: AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),2014-01-01,CHI
HY194057,Grand Theft Auto,AUTOMOBILE,STREET,2014-01-01,CHI
HX109442,Grand Theft Auto,"TRUCK, BUS, MOTOR HOME",PARKING LOT/GARAGE(NON.RESID.),2014-01-01,CHI
HX100850,Grand Theft Auto,AUTOMOBILE,RESIDENCE,2014-01-01,CHI
HX102679,Grand Theft Auto,AUTOMOBILE,STREET,2014-01-01,CHI
HX101306,Grand Theft Auto,AUTOMOBILE,RESIDENTIAL YARD (FRONT/BACK),2014-01-01,CHI
HX101210,Grand Theft Auto,AUTOMOBILE,STREET,2014-01-01,CHI
HX101034,Grand Theft Auto,AUTOMOBILE,STREET,2014-01-01,CHI
HX100931,Grand Theft Auto,AUTOMOBILE,STREET,2014-01-01,CHI
HX101093,Grand Theft Auto,AUTOMOBILE,STREET,2014-01-01,CHI
HX101222,Grand Theft Auto,"TRUCK, BUS, MOTOR HOME",PARKING LOT/GARAGE(NON.RESID.),2014-01-01,CHI
HX101404,Grand Theft Auto,AUTOMOBILE,STREET,2014-01-01,CHI
HX100837,Grand Theft Auto,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),2014-01-01,CHI
HX101311,Grand Theft Auto,AUTOMOBILE,STREET,2014-01-01,CHI
HX165203,Grand Theft Auto,AUTOMOBILE,STREET,2014-01-01,CHI
HX100848,Grand Theft Auto,THEFT/RECOVERY: AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),2014-01-01,CHI
HX100937,Grand Theft Auto,AUTOMOBILE,STREET,2014-01-01,CHI
HX100868,Grand Theft Auto,AUTOMOBILE,STREET,2014-01-01,CHI
