ComplaintNum,PrimaryDesc,SecondaryDesc,Premises,Date,City
140704016,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-01,LA
140104075,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-01,LA
141404060,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-01,LA
141204045,Grand Theft Auto,VEHICLE - STOLEN,DRIVEWAY,2014-01-01,LA
140604029,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-01,LA
141104030,Grand Theft Auto,VEHICLE - STOLEN,PARKING LOT,2014-01-01,LA
140704014,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-01,LA
141704004,Grand Theft Auto,VEHICLE - STOLEN,PARKING LOT,2014-01-01,LA
140904011,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-01,LA
141604002,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-01,LA
141804015,Grand Theft Auto,VEHICLE - STOLEN,GAS STATION,2014-01-01,LA
141504010,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-01,LA
142104022,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-01,LA
141304030,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-01,LA
142104038,Grand Theft Auto,VEHICLE - STOLEN,GARAGE/CARPORT,2014-01-01,LA
141204035,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-01,LA
140804004,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-01,LA
141404001,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-01,LA
142004013,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-01,LA
141904020,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-01,LA
141904026,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-01,LA
141204037,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-01,LA
141504022,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-01,LA
140204026,Grand Theft Auto,VEHICLE - STOLEN,GARAGE/CARPORT,2014-01-01,LA
141904021,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-01,LA
140204009,Grand Theft Auto,VEHICLE - STOLEN,PARKING LOT,2014-01-01,LA
141804004,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-01,LA
140704013,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-01,LA
140404019,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-01,LA
140304040,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-01,LA
140104082,Grand Theft Auto,VEHICLE - STOLEN,PARKING LOT,2014-01-01,LA
141704003,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-01,LA
141804023,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-02,LA
140504041,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-02,LA
141604031,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-02,LA
140504038,Grand Theft Auto,VEHICLE - STOLEN,PARKING LOT,2014-01-02,LA
140904065,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-02,LA
140704041,Grand Theft Auto,VEHICLE - STOLEN,DRIVEWAY,2014-01-02,LA
141304081,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-02,LA
141204088,Grand Theft Auto,VEHICLE - STOLEN,PARKING LOT,2014-01-02,LA
141804022,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-02,LA
141104064,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-02,LA
141704057,Grand Theft Auto,VEHICLE - STOLEN,PARKING LOT,2014-01-02,LA
141704072,Grand Theft Auto,VEHICLE - STOLEN,OTHER PREMISE,2014-01-02,LA
140204059,Grand Theft Auto,VEHICLE - STOLEN,GARAGE/CARPORT,2014-01-02,LA
140404044,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-02,LA
141004051,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-02,LA
141804028,Grand Theft Auto,VEHICLE - STOLEN,PARKING LOT,2014-01-02,LA
141004069,Grand Theft Auto,VEHICLE - STOLEN,STREET,2014-01-02,LA
