ComplaintNum,PrimaryDesc,SecondaryDesc,Premises,Date,City
140250474,Grand Theft Auto,"LARCENY,GRAND OF AUTO",PARKING LOT/GARAGE (PRIVATE),2014-12-31,NY
148162931,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-31,NY
249530678,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-31,NY
266192415,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-31,NY
472711504,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-31,NY
551050954,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-31,NY
568154133,Grand Theft Auto,"LARCENY,GRAND OF MOTORCYCLE",STREET,2014-12-31,NY
627815177,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-31,NY
660850828,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-31,NY
700929766,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-31,NY
723271629,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-31,NY
835786253,Grand Theft Auto,"LARCENY,GRAND OF MOTORCYCLE",PARKING LOT/GARAGE (PUBLIC),2014-12-31,NY
898837841,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-31,NY
963239160,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-31,NY
986278051,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-31,NY
111714789,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-30,NY
160173609,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-30,NY
320857968,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-30,NY
359583892,Grand Theft Auto,"LARCENY,GRAND OF MOTORCYCLE",STREET,2014-12-30,NY
393792066,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-30,NY
495081677,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-30,NY
495649180,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-30,NY
611686806,Grand Theft Auto,"LARCENY,GRAND OF MOTORCYCLE",STREET,2014-12-30,NY
627920305,Grand Theft Auto,"LARCENY,GRAND OF AUTO",OTHER,2014-12-30,NY
672436591,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-30,NY
816049001,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-30,NY
920386740,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-30,NY
948028868,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-30,NY
961843788,Grand Theft Auto,"LARCENY,GRAND OF AUTO",PARKING LOT/GARAGE (PRIVATE),2014-12-30,NY
964991921,Grand Theft Auto,"LARCENY,GRAND OF AUTO",PARKING LOT/GARAGE (PUBLIC),2014-12-30,NY
157033060,Grand Theft Auto,"LARCENY,GRAND OF AUTO",COMMERCIAL BUILDING,2014-12-29,NY
160901440,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-29,NY
188833369,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-29,NY
200472652,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-29,NY
215278285,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-29,NY
221693298,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-29,NY
259509668,Grand Theft Auto,"LARCENY,GRAND OF MOTORCYCLE",STREET,2014-12-29,NY
285079079,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-29,NY
285680217,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-29,NY
298456500,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-29,NY
331642736,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-29,NY
427079965,Grand Theft Auto,"LARCENY,GRAND OF MOTORCYCLE",STREET,2014-12-29,NY
430665990,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-29,NY
437158225,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-29,NY
554795347,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-29,NY
572119399,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-29,NY
674770913,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-29,NY
725895748,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-29,NY
735193578,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-29,NY
776958487,Grand Theft Auto,"LARCENY,GRAND OF MOTORCYCLE",STREET,2014-12-29,NY
781016059,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-29,NY
804851788,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-29,NY
821273677,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-29,NY
863105120,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-29,NY
926139490,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-29,NY
950929932,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-29,NY
982235643,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-29,NY
105965069,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-28,NY
108127817,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-28,NY
152986708,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-28,NY
190126442,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-28,NY
199697011,Grand Theft Auto,"LARCENY, GRAND OF AUTO - ATTEM",STREET,2014-12-28,NY
257879498,Grand Theft Auto,"LARCENY,GRAND OF AUTO",PARKING LOT/GARAGE (PRIVATE),2014-12-28,NY
257883499,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-28,NY
264709218,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-28,NY
266490158,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-28,NY
383513193,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-28,NY
384616629,Grand Theft Auto,"LARCENY,GRAND OF AUTO",PARKING LOT/GARAGE (PUBLIC),2014-12-28,NY
405556499,Grand Theft Auto,"LARCENY,GRAND OF MOTORCYCLE",STREET,2014-12-28,NY
449789640,Grand Theft Auto,"LARCENY,GRAND OF AUTO",PARKING LOT/GARAGE (PRIVATE),2014-12-28,NY
572657314,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-28,NY
626751006,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-28,NY
729652528,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-28,NY
753254748,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-28,NY
813707679,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-28,NY
818566829,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-28,NY
898709567,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-28,NY
914033430,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-28,NY
952664799,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-28,NY
127634880,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-27,NY
217779986,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-27,NY
276361661,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-27,NY
283329864,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-27,NY
302133498,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-27,NY
309110816,Grand Theft Auto,"LARCENY,GRAND OF AUTO",COMMERCIAL BUILDING,2014-12-27,NY
340237453,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-27,NY
343851663,Grand Theft Auto,"LARCENY, GRAND OF AUTO - ATTEM",STREET,2014-12-27,NY
376060276,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-27,NY
401763035,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-27,NY
409494778,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-27,NY
491784651,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-27,NY
493419778,Grand Theft Auto,"LARCENY,GRAND OF AUTO",RESIDENCE-HOUSE,2014-12-27,NY
507597094,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-27,NY
565747651,Grand Theft Auto,"LARCENY,GRAND OF AUTO",PARKING LOT/GARAGE (PUBLIC),2014-12-27,NY
576782154,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-27,NY
582281017,Grand Theft Auto,"LARCENY,GRAND OF AUTO",PUBLIC BUILDING,2014-12-27,NY
595477380,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-27,NY
600988893,Grand Theft Auto,"LARCENY,GRAND OF AUTO",RESIDENCE-HOUSE,2014-12-27,NY
620783761,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-27,NY
659752308,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-27,NY
792658858,Grand Theft Auto,"LARCENY,GRAND OF AUTO",RESIDENCE - PUBLIC HOUSING,2014-12-27,NY
811732917,Grand Theft Auto,"LARCENY,GRAND OF MOTORCYCLE",RESIDENCE-HOUSE,2014-12-27,NY
858924352,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-27,NY
888742782,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-27,NY
974960823,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-27,NY
985667003,Grand Theft Auto,"LARCENY,GRAND OF AUTO",PARKING LOT/GARAGE (PRIVATE),2014-12-27,NY
118651054,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-26,NY
167621825,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-26,NY
196339049,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-26,NY
313646334,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-26,NY
360827500,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-26,NY
405477516,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-26,NY
420206214,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-26,NY
461864835,Grand Theft Auto,"LARCENY,GRAND OF MOTORCYCLE",STREET,2014-12-26,NY
551808425,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-26,NY
555505916,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-26,NY
563140965,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-26,NY
578443447,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-26,NY
652646138,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-26,NY
678880799,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-26,NY
722531508,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-26,NY
735656925,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-26,NY
764197872,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-26,NY
858066931,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-26,NY
863113540,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-26,NY
868786583,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-26,NY
930102725,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-26,NY
952144119,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-26,NY
132189385,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-25,NY
191403127,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-25,NY
293790380,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-25,NY
378235442,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-25,NY
466349323,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-25,NY
473663265,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-25,NY
495885639,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-25,NY
514980213,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-25,NY
521092260,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-25,NY
635794238,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-25,NY
661319383,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-25,NY
700019408,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-25,NY
736324115,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-25,NY
806887319,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-25,NY
818575764,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-25,NY
991584482,Grand Theft Auto,"LARCENY,GRAND OF AUTO",RESIDENCE - PUBLIC HOUSING,2014-12-25,NY
209125224,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
223108336,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
228167727,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
235461779,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
251658989,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
265551955,Grand Theft Auto,"LARCENY,GRAND OF AUTO",STREET,2014-12-24,NY
